NIVEL_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
1,139399,119999,0.8280813961878306
2,139399,119999,0.8280813961878306
1,139399,133499,0.8218239673404459
2,139399,133499,0.8218239673404459
1,139399,139304,0.8038236647066609
2,139399,139304,0.8038236647066609
2,139399,111399,0.7925603804691267
2,139399,139306,0.7901424483369563
2,139399,139302,0.7894634949610497
2,139399,139303,0.7816875529275727
2,139399,119905,0.779493086773585
0,141501,141501,1.0
1,141501,141501,1.0
2,141501,141501,1.0
1,141501,141502,0.8420686207759076
2,141501,141502,0.8420686207759076
2,141501,142300,0.7921838354203904
0,141502,141502,1.0
1,141502,141502,1.0
2,141502,141502,1.0
1,141502,141501,0.8420686207759076
2,141502,141501,0.8420686207759076
0,142300,142300,1.0
1,142300,142300,1.0
2,142300,142300,1.0
2,142300,141501,0.7921838354203904
0,151201,151201,1.0
1,151201,151201,1.0
2,151201,151201,1.0
1,151201,151203,0.852827151955357
2,151201,151203,0.852827151955357
1,151201,151202,0.8246228110173294
2,151201,151202,0.8246228110173294
2,151201,153901,0.7984706429182138
2,151201,154700,0.7726563316311348
0,151202,151202,1.0
1,151202,151202,1.0
2,151202,151202,1.0
1,151202,151203,0.8372754105077254
2,151202,151203,0.8372754105077254
1,151202,151201,0.8246228110173294
2,151202,151201,0.8246228110173294
2,151202,153901,0.7922037074614681
0,151203,151203,1.0
1,151203,151203,1.0
2,151203,151203,1.0
1,151203,151201,0.852827151955357
2,151203,151201,0.852827151955357
1,151203,151202,0.8372754105077254
2,151203,151202,0.8372754105077254
2,151203,153901,0.7998834060519534
2,151203,153902,0.7745481368381044
2,151203,154700,0.7716638902332587
0,152101,152101,1.0
1,152101,152101,1.0
2,152101,152101,1.0
0,152102,152102,1.0
1,152102,152102,1.0
2,152102,152102,1.0
2,152102,152103,0.7905155559426386
2,152102,159802,0.7778386539873453
2,152102,153901,0.7715688001342494
2,152102,159899,0.770065548270403
0,152103,152103,1.0
1,152103,152103,1.0
2,152103,152103,1.0
2,152103,152102,0.7905155559426386
0,153901,153901,1.0
1,153901,153901,1.0
2,153901,153901,1.0
1,153901,153902,0.8231054083469656
