TIPO_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
ADA-002_FULL,322102,312402,0.2754039320920574
ADA-002_FULL,322102,322106,0.2853539205481312
ADA-002_FULL,322103,322103,0.0
ADA-002_FULL,322103,321303,0.19686250079262635
ADA-002_FULL,322103,322104,0.26517341190939553
ADA-002_FULL,322103,322101,0.26549076696471297
ADA-002_FULL,322103,322102,0.27534531057196027
ADA-002_FULL,322104,322104,0.0
ADA-002_FULL,322104,322101,0.12516357186107668
ADA-002_FULL,322104,321304,0.2232165887820898
ADA-002_FULL,322104,312401,0.2539244817991897
ADA-002_FULL,322104,322102,0.2562192287607129
ADA-002_FULL,322104,321301,0.2581291698570995
ADA-002_FULL,322104,322103,0.26517341190939553
ADA-002_FULL,322104,322105,0.28075650740468927
ADA-002_FULL,322104,322107,0.2847831493244824
ADA-002_FULL,322104,322106,0.28666839986996795
ADA-002_FULL,322104,312402,0.29504789799436365
ADA-002_FULL,322105,322105,0.0
ADA-002_FULL,322105,322101,0.26988122705992723
ADA-002_FULL,322105,322199,0.2732910822240313
